machine,raw_string,string,command,language,nthreads,max_threads,nreps,jaxprimitive,time_str,milliseconds,seconds,minutes,hours,sec_total,min_total,n_per_min,n_per_min3
macm1,python scripts/jaxspeed.py $nreps  3.86s user 0.55s system 188% cpu 2.338 total 1000 nreps ,python scripts/jaxspeed.py $nreps  3.86s user 0.55s system 188% cpu 2.338 total 1000 nreps,python,jax-map,8,8,1000,map,2.338,338,2,0,0,2.338,0.0389666666666667,25662.9597946963,25.6629597946963
macm1,Rscript scripts/rspeed.R $nreps  2.53s user 0.25s system 96% cpu 2.891 total 1000 nreps ,Rscript scripts/rspeed.R $nreps  2.53s user 0.25s system 96% cpu 2.891 total 1000 nreps,Rscript,r,1,8,1000,,2.891,891,2,0,0,2.891,0.0481833333333333,20754.0643375994,20.7540643375994
macm1,Rscript scripts/rspeed.R $nreps $nthreads  0.60s user 0.08s system 26% cpu 2.528 total 1000 nreps 8 nthreads,Rscript scripts/rspeed.R $nreps $nthreads  0.60s user 0.08s system 26% cpu 2.528 total 1000 nreps 8 nthreads,Rscript,r,8,8,1000,,2.528,528,2,0,0,2.528,0.0421333333333333,23734.1772151899,23.7341772151899
macm1,python scripts/jaxspeed.py $nreps  9.08s user 2.73s system 221% cpu 5.328 total 10000 nreps ,python scripts/jaxspeed.py $nreps  9.08s user 2.73s system 221% cpu 5.328 total 10000 nreps,python,jax-map,8,8,10000,map,5.328,328,5,0,0,5.328,0.0888,112612.612612613,112.612612612613
macm1,Rscript scripts/rspeed.R $nreps  24.56s user 1.91s system 99% cpu 26.609 total 10000 nreps ,Rscript scripts/rspeed.R $nreps  24.56s user 1.91s system 99% cpu 26.609 total 10000 nreps,Rscript,r,1,8,10000,,26.609,609,26,0,0,26.609,0.443483333333333,22548.7616971701,22.5487616971701
macm1,Rscript scripts/rspeed.R $nreps $nthreads  0.89s user 0.10s system 11% cpu 8.251 total 10000 nreps 8 nthreads,Rscript scripts/rspeed.R $nreps $nthreads  0.89s user 0.10s system 11% cpu 8.251 total 10000 nreps 8 nthreads,Rscript,r,8,8,10000,,8.251,251,8,0,0,8.251,0.137516666666667,72718.4583686826,72.7184583686826
macm1,python scripts/jaxspeed.py $nreps  64.87s user 22.55s system 222% cpu 39.378 total 100000 nreps ,python scripts/jaxspeed.py $nreps  64.87s user 22.55s system 222% cpu 39.378 total 100000 nreps,python,jax-map,8,8,100000,map,39.378,378,39,0,0,39.378,0.6563,152369.34328813,152.36934328813
macm1,Rscript scripts/rspeed.R $nreps  255.77s user 14.00s system 99% cpu 4:30.21 total 100000 nreps ,Rscript scripts/rspeed.R $nreps  255.77s user 14.00s system 99% cpu 4:30.21 total 100000 nreps,Rscript,r,1,8,100000,,4:30.21,21,4,4,0,244.021,4.06701666666667,24588.0477499887,24.5880477499887
macm1,Rscript scripts/rspeed.R $nreps $nthreads  3.61s user 0.27s system 6% cpu 1:02.89 total 100000 nreps 8 nthreads,Rscript scripts/rspeed.R $nreps $nthreads  3.61s user 0.27s system 6% cpu 1:02.89 total 100000 nreps 8 nthreads,Rscript,r,8,8,100000,,1:02.89,89,1,1,0,61.089,1.01815,98217.3550066297,98.2173550066297
macm1,python scripts/jaxspeed.py $nreps  622.34s user 234.74s system 223% cpu 6:23.55 total 1000000 nreps ,python scripts/jaxspeed.py $nreps  622.34s user 234.74s system 223% cpu 6:23.55 total 1000000 nreps,python,jax-map,8,8,1000000,map,6:23.55,55,6,6,0,366.055,6.10091666666667,163909.794976165,163.909794976165
